smooth_days,class,median_sd,p25_sd,p75_sd
15,Presence,36.286361074100554,28.69581751854397,48.00729111291325
15,Absence,53.176122461119704,38.525316351718644,74.51644113885203
21,Presence,36.12063122372033,28.03034070431539,47.641368578159046
21,Absence,52.89801508563436,38.349706648160954,74.87122277617749
30,Presence,35.414686219137955,27.81546332528006,46.74612283387789
30,Absence,51.33906894364174,37.4993333274073,73.43500527677519
45,Presence,35.63986531961085,27.985710639538883,47.113692277298746
45,Absence,50.430149712250504,36.61557045848118,69.85842826746104
