smooth_days,class,median_sd,p25_sd,p75_sd
15,Presence,38.732907014467315,30.954074641956637,44.0697499101465
15,Absence,42.53010138489589,36.544167667032596,45.557394465401444
21,Presence,39.865846463930936,30.88380682185284,44.70804764032449
21,Absence,42.53569929230874,38.085117703325935,45.8283547079545
30,Presence,40.51748593714406,31.308754290742634,45.269037037314085
30,Absence,42.848014900954055,38.73598056686045,46.647104743514156
45,Presence,42.437629304102046,30.93002855909879,47.786728582017716
45,Absence,45.46322427968305,41.262804650423945,51.56826266499303
