start_month,end_month,separation,pres_median,abs_median
3,8,5.886418998086394e-05,-0.0003506438854259207,-0.00040950807540678465
3,9,4.462605033182137e-05,-0.000506479867158445,-0.0004618538168266236
3,10,0.00010546270997364098,-0.000587449010110253,-0.000481986300136612
4,8,0.00011463750913440527,-0.0005046158627044475,-0.00038997835357004225
4,9,0.0002265404799981828,-0.0006626842737245927,-0.00043614379372640985
4,10,0.00029825944110383954,-0.000744457368976841,-0.0004461979278730014
5,8,0.0002673549383397514,-0.0006186287949875768,-0.0003512738566478254
5,9,0.0003829836188457525,-0.0008049612169168935,-0.000421977598071141
5,10,0.0004028259085232352,-0.0008399718688063732,-0.000437145960283138
